Location Name,Operating Hours,Concatenated Address,Brand Name
Northpoint City (Noodle Section),24H (Daily),"Northpoint City (Noodle Section), 930 Yishun Avenue 2, #01-07, Singapore (769098)",Encik Tan
Northpoint City (Curry Rice Section),10.30 AM to 9:30 PM (Daily),"Northpoint City (Curry Rice Section), 930 Yishun Avenue 2, #01-07, Singapore (769098)",Encik Tan
Oasis Terrace,8:00 AM to 9:00 PM (Daily),"Oasis Terrace, 681 Punggol Drive, #01-39, Singapore (820681)",Encik Tan
Our Tampines Hub,24H (Daily),"Our Tampines Hub, 1 Tampines Walk, #01-12, Singapore (528523)",Encik Tan
SingPost Centre,8:00 AM to 9:00 PM (Daily),"SingPost Centre, 10 Eunos Road 8, #B1-156/159, Singapore (408600)",Encik Tan
Kallang Wave Mall,10.30 AM to 9:00 PM (Daily),"Kallang Wave Mall, 1 Stadium Place, #01-32, Singapore (397628)",Encik Tan
Tampines Mall,10:00 AM to 10:00 PM (Daily),"Tampines Mall, 4 Tampines Central 5, #B1-11, Singapore (529510)",Encik Tan
VivoCity,8:00 AM to 9:00 PM (Daily),"VivoCity, 1 HarbourFront Walk, #B2-37, Singapore (098585)",Encik Tan
Waterway Point,24H (Daily),"Waterway Point, 83 Punggol Central, #B2-03, Singapore (828761)",Encik Tan
West Mall,8:00 AM to 9:00 PM (Daily),"West Mall, 1 Bukit Batok Central Link, #01-01/36, Singapore (658713)",Encik Tan
YewTee Point,10:00 AM to 9:00 PM (Daily),"YewTee Point, 21 Choa Chu Kang North 6, #B1-28, Singapore (689578)",Encik Tan
Buangkok Hawker Centre (Noodle Section),7:00 AM to 9:00 PM (Daily),"Buangkok Hawker Centre (Noodle Section), Sengkang Grand Mall, 70 Compassvale Bow, #02-K47, Singapore (544692)",Encik Tan
Buangkok Hawker Centre (Curry Rice Section),11:00 AM to 9:00 PM (Daily),"Buangkok Hawker Centre (Curry Rice Section), Sengkang Grand Mall, 70 Compassvale Bow, #02-K48, Singapore (544692)",Encik Tan
NTU North Spine Plaza,9:00 AM to 7:00 PM (Daily),"NTU North Spine Plaza, 76 Nanyang Dr, #01-04, Singapore (637331)",Encik Tan
"Mount Alvernia Hospital, SG Hawker",9:00 AM to 7:00 PM (Daily),"Mount Alvernia Hospital, SG Hawker, 820 Thomson Rd, #01-33, Singapore (574623)",Encik Tan
"Changi Airport, SG Hawker",24H (Daily),"Changi Airport, SG Hawker, Terminal 1 (Transit Area), #03-47/48, Singapore (819642)",Encik Tan
Tangs Plaza,Mon to Sat: 10.30 AM - 9.30 PM Sun: 11:00 AM - 9:00 PM,"Tangs Plaza, 310 Orchard Rd, Basement 1, #B1, Singapore (238864)",Tangs Market
Plaza Singapura,8:00 AM to 9:00 PM (Daily),"Plaza Singapura, 68 Orchard Rd, #B2-39, Singapore (238839)",85 Redhill
United Square,7:45 AM to 8:00 PM (Daily),"United Square, Thomson Rd, 101, #01-79/80, Singapore (307591)",85 Redhill
